N;Group;Gender;Age;Experience;% of developments completed on time;Number of errors identified by the user;Customer satisfaction (score);Quality of documentation
1;1;1;48;10.9;13;19;60;2
2;1;2;44;9.2;10;21;59;3
3;1;2;53;12.8;12;13;83;4
4;1;2;54;12.8;12;15;72;2
5;1;1;48;9.9;11;18;62;2
6;1;1;48;10.3;11;18;55;1
7;1;2;43;8.6;9;22;56;3
8;1;2;52;12.1;12;13;80;3
9;1;1;44;9.2;10;22;53;2
10;1;2;47;10.6;11;21;60;3
11;1;2;43;9.4;12;21;57;2
12;1;2;48;10.6;12;17;68;3
13;1;1;53;12;13;14;71;2
14;1;1;46;9;9;21;48;1
15;1;1;45;9.6;11;20;61;3
16;1;2;44;10.1;12;20;63;3
17;1;2;46;10;11;19;60;2
18;1;1;49;11;12;18;65;3
19;1;1;41;8.2;10;20;50;1
20;1;2;46;9.4;11;18;55;2
21;1;1;43;8.9;11;25;55;3
22;1;2;50;11.2;11;17;68;3
23;1;2;45;9.1;11;23;48;1
24;1;2;47;10.8;12;17;64;2
25;1;1;46;9.6;12;19;57;1
26;1;1;48;10.1;11;17;70;3
27;1;2;49;10.8;11;14;67;2
28;1;2;55;12.3;12;19;72;3
29;1;1;42;8.7;9;25;49;2
30;1;2;49;10.5;11;17;71;4
31;1;2;45;9.5;12;22;55;2
32;1;2;43;9.3;11;16;70;3
33;1;1;42;8.7;11;20;53;2
34;1;1;48;11.2;10;18;67;2
35;1;1;51;11.3;12;13;73;2
36;1;2;49;10.8;11;16;73;4
37;1;2;44;9.3;11;15;64;1
38;1;1;45;9.4;11;20;62;3
39;1;1;51;11.4;11;16;65;2
40;1;2;44;9.5;10;22;49;1
41;1;1;46;10.2;9;19;60;1
42;1;2;46;9.5;10;19;60;2
43;1;2;52;11.6;12;16;63;1
44;1;2;43;8.6;10;19;59;3
45;1;1;42;9;11;21;49;1
46;1;1;38;7.5;10;21;49;2
47;1;2;48;10.7;11;17;60;2
48;1;2;49;10.3;12;17;64;3
49;1;1;45;9.3;9;18;61;2
50;1;2;38;7.6;10;19;51;2
51;1;2;40;8;11;17;63;3
52;1;2;46;9.9;11;21;61;3
53;1;1;55;12.9;11;14;65;1
54;1;1;43;9.1;9;18;55;1
55;1;1;53;12.7;13;13;69;1
56;1;2;45;10.1;11;18;67;3
57;1;2;42;8.8;11;19;60;2
58;1;1;48;10.7;11;18;63;2
59;1;1;46;10;11;18;64;2
60;1;2;41;8.6;11;20;52;1
61;1;1;51;10.9;12;17;65;3
62;1;2;50;11;14;17;70;3
63;1;2;51;11.3;13;16;74;3
64;1;2;54;12.2;11;18;59;1
65;1;1;52;11.6;12;21;64;3
66;1;1;43;8.6;12;23;55;2
67;1;2;47;10.7;12;17;65;1
68;1;2;40;8.5;10;19;54;1
69;1;1;42;8.4;10;21;57;3
70;1;2;45;9.4;11;18;62;3
71;1;2;48;9.6;10;21;59;3
72;1;2;46;9.3;12;18;65;3
73;1;1;49;11.3;12;15;69;3
74;1;1;46;9.8;11;19;62;3
75;1;1;51;11.8;12;15;74;3
76;1;2;43;9.4;11;20;56;2
77;1;2;44;9.1;12;20;56;2
78;1;1;52;11.5;10;15;71;3
79;1;1;46;9.9;11;18;59;1
80;1;2;46;9.7;11;16;59;1
81;1;1;41;8.9;10;20;58;2
82;1;2;49;11.4;13;17;65;2
83;1;2;44;9.8;12;17;62;2
84;1;2;41;8.7;10;18;62;3
85;1;1;43;9;10;17;62;2
86;1;1;55;13.1;13;16;74;3
87;1;2;49;10.7;11;18;67;3
88;1;2;47;9.9;10;20;64;2
89;1;1;45;8.9;11;19;64;3
90;1;2;51;12;11;15;67;1
91;1;2;51;12;13;15;79;4
92;1;2;37;7.1;7;22;46;1
93;1;1;47;10.1;11;18;55;1
94;1;1;48;10.7;10;16;67;2
95;1;1;48;10.8;14;19;58;1
96;1;2;42;9.3;10;19;59;2
97;1;2;46;10.2;10;19;60;2
98;1;1;50;11.1;13;18;63;2
99;1;1;42;8.6;8;21;48;1
100;1;2;42;8.7;10;20;54;2
